tag,weight,count,ret,vola,mdv,category
rais,0.0112244017333376,1166591,729.2029713475,.,.,tick|rise|analyst
beat,0.0110962066671384,269084,0.012831649219721,0.54635056289683,177717555.611511,tick|rise|analyst
releas,0.00460590564865613,3545126,2314.98400043138,.,.,tick
rise,0.00844950729577502,2409576,802.87953429916,.,.,tick|rise
agreement,0.0162001339450775,293223,261.259010090553,.,.,deal
deal,0.00827756570461523,1874589,462.769348058973,.,.,deal
soar,0.0210904118059179,202251,149.931519031553,.,.,tick|rise
definit,0.0338532397058823,36079,68.6983352797057,.,.,tick
unsolicit,0.060563575083426,15969,26.6226664193548,.,.,merger
escala,0.112825146245059,2702,13.7238446640316,.,.,rise
upgrad,0.0134885353381627,188518,122.993924744993,.,.,tick|rise|analyst
strong,0.00967008471490176,555817,156.153304171218,.,.,tick|rise
stock,0.00245219784832972,8736037,601.332427972479,.,.,tick
licens,0.0147227143727691,91329,100.576199985287,.,.,deal|gov
posit,0.0122044286234744,249421,94.3154741626691,.,.,tick|rise
'employment',0.0122044286234744,249421,94.3154741626691,.,.,employment
-transact,0.0151347599540582,136277,80.8785517932619,.,.,
renegi,0.225798911111111,247,10.160951,.,.,deal
higher,0.00667700299102683,1043400,231.599670523925,.,.,tick|rise
-million,0.00634265202065897,602028,147.217960158976,.,.,
-newmarket,0.0550147035928144,1461,36.749822,.,.,
record,0.00686652062717767,673217,144.755886746597,.,.,tick|rise
record+revenue,0.00686652062717767,673217,144.755886746597,.,.,tick|rise
record+profit,0.00686652062717767,673217,144.755886746597,.,.,tick|rise
boost,0.00765497489172245,489547,122.957923569858,.,.,tick|rise
-therapeut,0.0148288605195414,46189,71.2434522136675,.,.,
embryon,0.14561811627907,347,12.523158,.,.,pharma
-repaid,0.181474709090909,1580,9.981109,.,.,
receiv,0.0093683906305574,170925,99.1191114139527,.,.,deal
enter,0.0121937616259042,97737,84.3706463761619,.,.,deal
techniqu,0.128442544554456,796,12.972697,.,.,innovation
subsidiari,0.0173004886244312,37963,60.3140722877143,.,.,deal
merger,0.00350674952911977,1263628,293.097069485936,.,.,merger
ultrasound,0.100765402515723,1332,9.86342689308176,.,.,innovation
increas,0.00562560354104105,599635,133.271478625564,.,.,tick|rise
-paradigm,0.0996980191082804,1039,8.67501233757962,.,.,
propos,0.00854998570627803,283585,73.4102263688341,.,.,tick|gov
repurchas,0.00966272145794922,133674,68.1242050609842,.,.,tick
group,0.00338736702355463,1396817,189.697747259792,.,.,tick
publicli,0.0693207761732853,3323,10.381994465704,.,.,merger
-japan,0.00432925859071256,1834170,0.00485461248092985,1.15760442309366,11866040479.0612,
ralli,0.00937261000478839,329349,97.0843107423358,.,.,tick|rise
stock+ralli,0.00937261000478839,329349,97.0843107423358,.,.,tick|rise
price+ralli,0.00937261000478839,329349,97.0843107423358,.,.,tick|rise
fast-track,0.0792796735751296,1253,7.69164986010363,.,.,deal|pharma|gov
purchas,0.00915254663036076,164576,67.0262604567731,.,.,tick
-energi,0.00385988715437578,781465,164.480105727576,.,.,
-accret,0.0214418022979398,46188,34.4150086271791,.,.,
bought,0.021757933497537,47127,30.5590189310345,.,.,deal|merger
lift,0.00825846831890121,312718,100.323442974381,.,.,tick
all-cash,0.0623738166089965,4409,9.11440028027682,.,.,merger
contract,0.00574622047669013,300773,94.8114415798229,.,.,deal
-parti,0.0203669308773263,37002,26.2464136843905,.,.,
climb,0.0103630733834586,225016,70.5471759624058,.,.,tick|rise
-nikkei,0.00511515073396058,1172571,206.230955138888,.,.,
acquisit,0.00282274689677951,980756,243.76668309179,.,.,merger
offer,0.00341798381742248,1030450,146.8762326365,.,.,merger
genzym,0.0218637067120622,18322,23.4329915486381,.,.,pharma
-liberti,0.0147122582666955,39624,42.3333058124054,.,.,
clearanc,0.0196587711697519,24474,27.6079767534462,.,.,merger|gov
combin,0.012581314765547,118803,37.266909439807,.,.,merger
approv,0.00547883297551261,348595,84.9873572449983,.,.,pharma|gov|merger
-orphan,0.0375398926380368,3177,12.6850698343558,.,.,
pain,0.0183286525,34972,26.1086063124999,.,.,pharma
sharehold,0.00667373253676473,321125,64.2888431699403,.,.,tick
appoint,0.00757583833689231,319777,70.8363899587988,.,.,board
exclus,0.0138848815817298,43256,43.1200449830832,.,.,deal
billion,0.00638987609155254,500053,88.55951640353,.,.,tick
-newswir,0.0904916915887851,1198,5.19434170093458,.,.,
complet+ipo,0.00576198575080836,229734,102.230503249568,.,.,ipo
ipo,0.00576198575080836,229734,102.230503249568,.,.,ipo
-sensat,0.138367840909091,416,6.088185,.,.,
hldr,0.0108955968061051,74166,77.0972429999993,.,.,board
doubl,0.00907133804198546,139207,47.5027637449479,.,.,tick
stake,0.00424180631215792,751203,99.4287049309787,.,.,tick
compani,0.00333398983335083,667897,137.037984715675,.,.,tick
-servic,0.0038309370193083,471500,116.501907948635,.,.,
outlet,0.0291428088552916,8226,13.3234090680346,.,.,sales
smallpox,0.0710387006369427,763,4.28573667515924,.,.,pharma
rebound,0.00982491724403388,167830,61.3035144857583,.,.,tick
synergi,0.0190651770428015,63895,17.3729502101167,.,.,merger
see+synergi,0.0190651770428015,63895,17.3729502101167,.,.,merger
cancer,0.00887686651799936,83296,42.0880706893916,.,.,pharma
partner,0.00509163575652177,236554,85.489304755618,.,.,merger|deal
-immers,0.0497476576271187,2128,6.006798,.,.,
-motion,0.0146970056385678,51005,32.5439487846066,.,.,
spree,0.0391190810234542,6534,13.0263952473348,.,.,tick|rise
breakup,0.0251275926605504,15572,20.8849896110092,.,.,
breakup+fee,0.0251275926605504,15572,20.8849896110092,.,.,merger|reversal
outstand,0.0134184361427094,42877,27.394663360393,.,.,tick
split,0.0098804739851343,73928,37.5159510403086,.,.,tick
privat,0.00773670842884853,138948,44.032308728972,.,.,
privat+plac,0.00773670842884853,138948,44.032308728972,.,.,tick|capital
tender,0.0083952355665329,108687,41.0868651476794,.,.,merger
-microsoft,0.00569139273282154,507634,59.8650855910545,.,.,
takeov,0.00601980932671086,358672,70.7482071594377,.,.,merger
improv,0.00711151683244068,194384,45.5408941771231,.,.,rise
dissem,0.0622720299401197,2038,10.399429,.,.,tick
-corpor,0.00278873197116802,705295,143.069964023652,.,.,
-bank,0.00228080170219085,2013252,172.915692872474,.,.,
-repres,0.0170162308775223,35380,16.8019953111215,.,.,
buyback,0.00785112850917199,163340,38.5960082431337,.,.,tick|rise
updat,0.000997217997559601,9223159,412.571840140452,.,.,update
show,0.00652008551783411,218235,44.752245058301,.,.,
media,0.0055800346477994,199914,56.053771203933,.,.,
dividend,0.00342220607202084,467388,83.5048501673602,.,.,
program,0.00516167674260123,178692,68.0384629918222,.,.,
automobil,0.0454255736434109,3330,7.66353155813954,.,.,
synerget,0.0431324911032029,2123,6.16912795729537,.,.,
patent,0.00585663387836876,131248,45.1613478311898,.,.,
interest,0.00533604349009362,278030,44.6434484694644,.,.,
sclerosi,0.04007294375,2383,7.18675453750001,.,.,
bioscienc,0.0108634730957374,26998,26.801845722106,.,.,
award,0.00552709813731991,116578,62.7050440199529,.,.,
nation,0.00441442681469486,213594,57.6622402736977,.,.,
settlement,0.00614715036520864,141133,35.9904513163463,.,.,
afternoon,0.00758868703370208,153183,30.207065512992,.,.,
hardwar,0.0177800544827586,17518,13.14051788,.,.,
reach,0.00609988787338069,166009,33.5878398973064,.,.,
properti,0.00407445699625024,233603,51.4783175812907,.,.,
upright,0.0746950821917808,150,5.452741,.,.,
proprietari,0.0275549323583182,4150,10.3781698427788,.,.,
